method;pollution;param;ge;sr
sca_hw;gauss;44;1.0;1.0
sca_hw;gauss;46;1.37;0.93
sca_hw;gauss;48;1.14;0.91
sca_hw;gauss;50;3.49;0.68
sca_hw;gauss;52;2.73;0.7
sca_hw;gauss;54;6.02;0.45
sca_hw;gauss;56;6.77;0.55
sca_hw;gauss;58;7.67;0.45
sca_hw;gauss;60;8.54;0.39
sca_hw;gauss;62;10.09;0.41
sca_hw;gauss;64;12.98;0.3
sca_hw;gauss;66;24.17;0.28
sca_hw;gauss;68;20.26;0.31
sca_hw;gauss;70;20.47;0.22
sca_hw;gauss;72;22.56;0.23
sca_hw;gauss;74;31.99;0.1
sca_hw;gauss;76;28.71;0.18
sca_hw;gauss;78;34.36;0.09
sca_hw;gauss;80;36.62;0.13
sca_hw;gauss;82;32.04;0.15
sca_hw;gauss;84;43.89;0.08
sca_hw;gauss;86;40.62;0.09
sca_hw;gauss;88;38.72;0.16
sca_hw;gauss;90;66.02;0.06
sca_hw;gauss;92;48.62;0.05
sca_hw;gauss;94;52.67;0.06
sca_hw;gauss;96;77.24;0.02
sca_hw;gauss;98;54.7;0.04
sca_hw;gauss;100;59.14;0.05
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.0;1.0
sca_hw;desync;90;2.74;0.73
sca_hw;desync;95;106.47;0.02
sca_hw;desync;100;17.08;0.27
sca_hw;desync;105;5.48;0.54
sca_hw;desync;110;125.65;0.0
sca_hw;desync;115;89.88;0.01
sca_hw;desync;120;102.59;0.01
sca_hw;desync;125;92.91;0.0
sca_hw;desync;130;123.7;0.01
sca_hw;desync;135;133.26;0.0
sca_hw;desync;140;131.42;0.0
sca_hw;desync;145;118.88;0.01
sca_hw;desync;150;125.5;0.0
sca_hw;desync;155;129.52;0.0
sca_hw;desync;160;120.71;0.0
sca_hw;desync;165;136.97;0.0
sca_hw;desync;170;127.78;0.0
sca_hw;desync;175;133.58;0.0
sca_hw;desync;180;133.65;0.02
sca_hw;desync;185;121.64;0.01
sca_hw;desync;190;122.84;0.01
sca_hw;desync;195;126.06;0.0
sca_hw;desync;200;140.65;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;2;1.0;1.0
sca_hw;gauss;4;1.0;1.0
sca_hw;gauss;6;1.0;1.0
sca_hw;gauss;8;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;12;1.0;1.0
sca_hw;gauss;14;1.0;1.0
sca_hw;gauss;16;1.0;1.0
sca_hw;gauss;18;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;22;1.0;1.0
sca_hw;gauss;24;1.0;1.0
sca_hw;gauss;26;1.0;1.0
sca_hw;gauss;28;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;32;1.0;1.0
sca_hw;gauss;34;1.0;1.0
sca_hw;gauss;36;1.0;1.0
sca_hw;gauss;38;1.0;1.0
sca_hw;gauss;40;1.02;0.98
sca_hw;gauss;42;1.02;0.99
sca_hw;gauss;44;1.41;0.88
sca_hw;gauss;46;1.41;0.84
sca_hw;gauss;48;1.28;0.87
sca_hw;gauss;50;2.93;0.7
sca_hw;gauss;52;2.49;0.71
sca_hw;gauss;54;3.8;0.72
sca_hw;gauss;56;4.78;0.47
sca_hw;gauss;58;10.68;0.31
sca_hw;gauss;60;13.32;0.25
sca_hw;gauss;62;9.6;0.38
sca_hw;gauss;64;12.84;0.31
sca_hw;gauss;66;17.48;0.27
sca_hw;gauss;68;18.71;0.25
sca_hw;gauss;70;15.83;0.29
sca_hw;gauss;72;27.49;0.13
sca_hw;gauss;74;22.37;0.14
sca_hw;gauss;76;34.61;0.14
sca_hw;gauss;78;31.16;0.15
sca_hw;gauss;80;35.37;0.09
sca_hw;gauss;82;30.05;0.07
sca_hw;gauss;84;59.96;0.07
sca_hw;gauss;86;48.96;0.08
sca_hw;gauss;88;50.29;0.02
sca_hw;gauss;90;39.54;0.07
sca_hw;gauss;92;66.14;0.04
sca_hw;gauss;94;59.06;0.02
sca_hw;gauss;96;52.44;0.05
sca_hw;gauss;98;69.42;0.02
sca_hw;gauss;100;58.1;0.02
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.0;1.0
sca_hw;desync;90;89.49;0.02
sca_hw;desync;95;2.47;0.72
sca_hw;desync;100;1.0;1.0
sca_hw;desync;105;130.42;0.01
sca_hw;desync;110;38.28;0.12
sca_hw;desync;115;1.0;1.0
sca_hw;desync;120;104.12;0.02
sca_hw;desync;125;102.5;0.02
sca_hw;desync;130;124.51;0.01
sca_hw;desync;135;146.23;0.0
sca_hw;desync;140;128.99;0.02
sca_hw;desync;145;132.3;0.0
sca_hw;desync;150;128.21;0.0
sca_hw;desync;155;130.72;0.0
sca_hw;desync;160;113.67;0.0
sca_hw;desync;165;111.18;0.01
sca_hw;desync;170;132.51;0.0
sca_hw;desync;175;134.85;0.01
sca_hw;desync;180;137.37;0.0
sca_hw;desync;185;137.65;0.0
sca_hw;desync;190;119.23;0.0
sca_hw;desync;195;126.23;0.0
sca_hw;desync;200;134.81;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;2;1.0;1.0
sca_hw;gauss;4;1.0;1.0
sca_hw;gauss;6;1.0;1.0
sca_hw;gauss;8;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;12;1.0;1.0
sca_hw;gauss;14;1.0;1.0
sca_hw;gauss;16;1.0;1.0
sca_hw;gauss;18;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;22;1.0;1.0
sca_hw;gauss;24;1.0;1.0
sca_hw;gauss;26;1.0;1.0
sca_hw;gauss;28;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;32;1.0;1.0
sca_hw;gauss;34;1.0;1.0
sca_hw;gauss;36;1.0;1.0
sca_hw;gauss;38;1.05;0.98
sca_hw;gauss;40;1.0;1.0
sca_hw;gauss;42;1.0;1.0
sca_hw;gauss;44;1.22;0.86
sca_hw;gauss;46;1.48;0.91
sca_hw;gauss;48;1.32;0.87
sca_hw;gauss;50;2.66;0.71
sca_hw;gauss;52;2.05;0.75
sca_hw;gauss;54;6.43;0.51
sca_hw;gauss;56;8.27;0.5
sca_hw;gauss;58;6.86;0.42
sca_hw;gauss;60;12.56;0.39
sca_hw;gauss;62;12.52;0.34
sca_hw;gauss;64;9.57;0.42
sca_hw;gauss;66;17.53;0.21
sca_hw;gauss;68;23.89;0.25
sca_hw;gauss;70;16.62;0.29
sca_hw;gauss;72;18.54;0.21
sca_hw;gauss;74;22.66;0.26
sca_hw;gauss;76;28.54;0.12
sca_hw;gauss;78;30.46;0.11
sca_hw;gauss;80;37.19;0.18
sca_hw;gauss;82;41.41;0.12
sca_hw;gauss;84;31.59;0.16
sca_hw;gauss;86;38.44;0.15
sca_hw;gauss;88;58.82;0.09
sca_hw;gauss;90;51.41;0.03
sca_hw;gauss;92;49.46;0.09
sca_hw;gauss;94;65.82;0.05
sca_hw;gauss;96;58.14;0.07
sca_hw;gauss;98;55.23;0.04
sca_hw;gauss;100;52.29;0.07
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.01;0.99
sca_hw;desync;90;1.0;1.0
sca_hw;desync;95;1.0;1.0
sca_hw;desync;100;80.68;0.01
sca_hw;desync;105;15.33;0.37
sca_hw;desync;110;102.78;0.0
sca_hw;desync;115;60.73;0.06
sca_hw;desync;120;137.22;0.0
sca_hw;desync;125;130.47;0.0
sca_hw;desync;130;108.93;0.01
sca_hw;desync;135;133.96;0.02
sca_hw;desync;140;131.81;0.0
sca_hw;desync;145;132.84;0.0
sca_hw;desync;150;148.59;0.0
sca_hw;desync;155;142.81;0.0
sca_hw;desync;160;136.24;0.0
sca_hw;desync;165;126.64;0.0
sca_hw;desync;170;135.17;0.0
sca_hw;desync;175;140.98;0.0
sca_hw;desync;180;119.82;0.0
sca_hw;desync;185;145.62;0.0
sca_hw;desync;190;125.39;0.02
sca_hw;desync;195;139.91;0.01
sca_hw;desync;200;140.15;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;2;1.0;1.0
sca_hw;gauss;4;1.0;1.0
sca_hw;gauss;6;1.0;1.0
sca_hw;gauss;8;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;12;1.0;1.0
sca_hw;gauss;14;1.0;1.0
sca_hw;gauss;16;1.0;1.0
sca_hw;gauss;18;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;22;1.0;1.0
sca_hw;gauss;24;1.0;1.0
sca_hw;gauss;26;1.0;1.0
sca_hw;gauss;28;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;32;1.0;1.0
sca_hw;gauss;34;1.0;1.0
sca_hw;gauss;36;1.0;1.0
sca_hw;gauss;38;1.0;1.0
sca_hw;gauss;40;1.01;0.99
sca_hw;gauss;42;1.06;0.96
sca_hw;gauss;44;1.29;0.89
sca_hw;gauss;46;2.31;0.82
sca_hw;gauss;48;1.75;0.9
sca_hw;gauss;50;2.68;0.73
sca_hw;gauss;52;4.25;0.64
sca_hw;gauss;54;5.11;0.57
sca_hw;gauss;56;4.91;0.6
sca_hw;gauss;58;5.27;0.58
sca_hw;gauss;60;18.74;0.29
sca_hw;gauss;62;20.48;0.29
sca_hw;gauss;64;12.7;0.28
sca_hw;gauss;66;13.87;0.31
sca_hw;gauss;68;19.38;0.4
sca_hw;gauss;70;22.84;0.2
sca_hw;gauss;72;15.65;0.27
sca_hw;gauss;74;27.98;0.16
sca_hw;gauss;76;23.51;0.13
sca_hw;gauss;78;43.08;0.1
sca_hw;gauss;80;37.02;0.07
sca_hw;gauss;82;36.13;0.12
sca_hw;gauss;84;25.62;0.19
sca_hw;gauss;86;47.66;0.05
sca_hw;gauss;88;59.46;0.05
sca_hw;gauss;90;53.74;0.05
sca_hw;gauss;92;49.39;0.05
sca_hw;gauss;94;46.7;0.07
sca_hw;gauss;96;62.2;0.05
sca_hw;gauss;98;47.35;0.04
sca_hw;gauss;100;59.52;0.09
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.0;1.0
sca_hw;desync;90;1.0;1.0
sca_hw;desync;95;46.97;0.09
sca_hw;desync;100;59.82;0.04
sca_hw;desync;105;119.36;0.0
sca_hw;desync;110;3.19;0.67
sca_hw;desync;115;1.01;0.99
sca_hw;desync;120;110.15;0.0
sca_hw;desync;125;119.6;0.0
sca_hw;desync;130;96.33;0.02
sca_hw;desync;135;68.43;0.03
sca_hw;desync;140;130.73;0.0
sca_hw;desync;145;139.2;0.01
sca_hw;desync;150;120.53;0.0
sca_hw;desync;155;115.69;0.0
sca_hw;desync;160;137.61;0.01
sca_hw;desync;165;123.59;0.0
sca_hw;desync;170;138.44;0.0
sca_hw;desync;175;132.84;0.0
sca_hw;desync;180;125.77;0.0
sca_hw;desync;185;131.55;0.0
sca_hw;desync;190;128.61;0.0
sca_hw;desync;195;140.32;0.0
sca_hw;desync;200;145.54;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;2;1.0;1.0
sca_hw;gauss;4;1.0;1.0
sca_hw;gauss;6;1.0;1.0
sca_hw;gauss;8;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;12;1.0;1.0
sca_hw;gauss;14;1.0;1.0
sca_hw;gauss;16;1.0;1.0
sca_hw;gauss;18;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;22;1.0;1.0
sca_hw;gauss;24;1.0;1.0
sca_hw;gauss;26;1.0;1.0
sca_hw;gauss;28;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;32;1.0;1.0
sca_hw;gauss;34;1.01;0.99
sca_hw;gauss;36;1.0;1.0
sca_hw;gauss;38;1.0;1.0
sca_hw;gauss;40;1.0;1.0
sca_hw;gauss;42;1.06;0.95
sca_hw;gauss;44;1.29;0.91
sca_hw;gauss;46;1.38;0.92
sca_hw;gauss;48;1.5;0.9
sca_hw;gauss;50;3.06;0.69
sca_hw;gauss;52;5.28;0.54
sca_hw;gauss;54;4.88;0.64
sca_hw;gauss;56;2.8;0.75
sca_hw;gauss;58;4.78;0.47
sca_hw;gauss;60;12.66;0.32
sca_hw;gauss;62;12.98;0.31
sca_hw;gauss;64;15.19;0.31
sca_hw;gauss;66;21.17;0.12
sca_hw;gauss;68;13.83;0.32
sca_hw;gauss;70;22.59;0.15
sca_hw;gauss;72;23.93;0.19
sca_hw;gauss;74;27.61;0.11
sca_hw;gauss;76;40.62;0.17
sca_hw;gauss;78;29.66;0.15
sca_hw;gauss;80;38.83;0.11
sca_hw;gauss;82;39.94;0.08
sca_hw;gauss;84;40.95;0.07
sca_hw;gauss;86;34.18;0.12
sca_hw;gauss;88;35.14;0.07
sca_hw;gauss;90;53.98;0.06
sca_hw;gauss;92;55.29;0.06
sca_hw;gauss;94;64.01;0.02
sca_hw;gauss;96;45.93;0.08
sca_hw;gauss;98;71.05;0.06
sca_hw;gauss;100;67.27;0.03
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.0;1.0
sca_hw;desync;90;1.01;0.99
sca_hw;desync;95;1.04;0.99
sca_hw;desync;100;69.46;0.03
sca_hw;desync;105;1.67;0.84
sca_hw;desync;110;33.08;0.11
sca_hw;desync;115;102.04;0.02
sca_hw;desync;120;131.55;0.0
sca_hw;desync;125;85.28;0.02
sca_hw;desync;130;116.03;0.01
sca_hw;desync;135;34.59;0.13
sca_hw;desync;140;119.53;0.01
sca_hw;desync;145;111.04;0.01
sca_hw;desync;150;124.64;0.0
sca_hw;desync;155;130.99;0.02
sca_hw;desync;160;128.91;0.0
sca_hw;desync;165;134.26;0.0
sca_hw;desync;170;129.67;0.01
sca_hw;desync;175;144.8;0.0
sca_hw;desync;180;118.51;0.01
sca_hw;desync;185;138.09;0.01
sca_hw;desync;190;138.2;0.0
sca_hw;desync;195;117.78;0.0
sca_hw;desync;200;128.25;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;2;1.0;1.0
sca_hw;gauss;4;1.0;1.0
sca_hw;gauss;6;1.0;1.0
sca_hw;gauss;8;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;12;1.0;1.0
sca_hw;gauss;14;1.0;1.0
sca_hw;gauss;16;1.0;1.0
sca_hw;gauss;18;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;22;1.0;1.0
sca_hw;gauss;24;1.0;1.0
sca_hw;gauss;26;1.0;1.0
sca_hw;gauss;28;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;32;1.0;1.0
sca_hw;gauss;34;1.0;1.0
sca_hw;gauss;36;1.0;1.0
sca_hw;gauss;38;1.01;0.99
sca_hw;gauss;40;1.03;0.97
sca_hw;gauss;42;1.12;0.93
sca_hw;gauss;44;1.11;0.94
sca_hw;gauss;46;1.7;0.8
sca_hw;gauss;48;2.92;0.76
sca_hw;gauss;50;1.38;0.86
sca_hw;gauss;52;3.62;0.73
sca_hw;gauss;54;4.03;0.57
sca_hw;gauss;56;7.79;0.44
sca_hw;gauss;58;5.42;0.55
sca_hw;gauss;60;6.93;0.42
sca_hw;gauss;62;12.43;0.36
sca_hw;gauss;64;7.19;0.49
sca_hw;gauss;66;11.58;0.36
sca_hw;gauss;68;13.69;0.35
sca_hw;gauss;70;17.05;0.26
sca_hw;gauss;72;36.17;0.1
sca_hw;gauss;74;18.8;0.18
sca_hw;gauss;76;21.34;0.15
sca_hw;gauss;78;29.37;0.14
sca_hw;gauss;80;41.56;0.06
sca_hw;gauss;82;32.81;0.06
sca_hw;gauss;84;35.06;0.1
sca_hw;gauss;86;44.15;0.13
sca_hw;gauss;88;46.58;0.08
sca_hw;gauss;90;50.53;0.08
sca_hw;gauss;92;39.44;0.09
sca_hw;gauss;94;62.39;0.02
sca_hw;gauss;96;57.83;0.07
sca_hw;gauss;98;58.13;0.08
sca_hw;gauss;100;77.36;0.03
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.05;0.96
sca_hw;desync;90;1.62;0.79
sca_hw;desync;95;1.0;1.0
sca_hw;desync;100;1.0;1.0
sca_hw;desync;105;1.23;0.87
sca_hw;desync;110;1.08;0.96
sca_hw;desync;115;115.22;0.0
sca_hw;desync;120;1.09;0.93
sca_hw;desync;125;129.35;0.0
sca_hw;desync;130;121.92;0.02
sca_hw;desync;135;105.33;0.0
sca_hw;desync;140;126.38;0.01
sca_hw;desync;145;114.55;0.01
sca_hw;desync;150;102.26;0.02
sca_hw;desync;155;126.73;0.01
sca_hw;desync;160;126.93;0.0
sca_hw;desync;165;120.33;0.0
sca_hw;desync;170;135.57;0.01
sca_hw;desync;175;130.78;0.0
sca_hw;desync;180;141.04;0.0
sca_hw;desync;185;131.8;0.0
sca_hw;desync;190;133.91;0.0
